Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption
23/09/2012 16,3,,27.68,52.77,1.27,1.14,Middle,0,Garden,0.0,138.04
21/05/2005 16,5,3BHK,22.12,71.64,2.73,1.08,Upper Middle,0,Swimming Pool,0.0,203.6
05/04/2005 08,3,3BHK,11.66,55.31,2.77,1.44,Upper Middle,1,Jacuzzi,1.0,272.24
27/04/2008 16,3,2BHK,27.8,55.87,1.16,0.92,Middle,0,Garden,1.0,125.84
06/09/2007 16,2,1BHK,13.76,56.88,1.15,1.02,Middle,0,Fountain,0.0,91.35
03/09/2012 16,5,Detached,16.83,54.81,2.61,1.2,Rich,0,Jacuzzi,0.0,281.9
04/06/2011 16,5,3BHK,13.43,C(_C_,2.67,1.39,Upper Middle,1,Jacuzzi,1.0,404.44
04/01/2005 16,5,Bungalow,33.33,40.15,2.25,1.21,Upper Middle,0,,0.0,225.0
27/09/2014 16,3,Bungalow,30.1,65.88,2.52,0.83,Upper Middle,1,Swimming Pool,0.0,143.29
14/09/2012 00,3,2BHK,31.88,75.42,1.76,1.01,Upper Middle,0,Swimming Pool,0.0,141.25
10/06/2006 00,5,Detached,21.93,51.04,2.13,1.34,,0,Fountain,0.0,329.88
08/04/2013 00,2,1BHK,28.12,33.49,1.49,1.37,Low,0,Jacuzzi,0.0,147.86
07/10/2004 08,5,2BHK,20.82,44.81,1.58,1.21,Middle,0,,0.0,187.09
30/07/2013 16,5,3BHK,26.57,56.78,2.01,1.18,Rich,0,Swimming Pool,0.0,317.47
13/10/2007 08,3,Cottage,15.18,44.42,1.57,1.25,Middle,0,Garden,0.0,129.04
30/01/2005 00,2,1BHK,27.68,47.28,1.44,0.1951328543691046,Middle,1,Jacuzzi,,109.45
06/03/2008 08,2,1BHK,16.86,54.17,1.29,1.09,Middle,0,Jacuzzi,0.0,105.18
07/09/2005 00,3,2BHK,24.05,66.99,2.44,0.9,Upper Middle,0,Garden,1.0,113.44
14/07/2012 00,5,3BHK,33.94,55.36,1.64,1.41,Upper Middle,1,Fountain,0.0,386.96
19/04/2011 16,2,Studio,19.19,65.06,1.65,1.19,Low,0,Garden,0.0,72.89
26/08/2012 00,4,2BHK,15.21,62.89,1.68,0.89,Upper Middle,1,,0.0,131.25
28/06/2009 08,3,2BHK,33.14,50.09,1.54,0.93,Middle,1,,,154.2
29/06/2011 00,-55,2BHK,31.97,38.01,1.78,1.34,Upper Middle,1,Garden,0.0,279.65
08/05/2014 08,4,Detached,14.52,48.9,2.28,1.39,Rich,1,,0.0,281.74
21/08/2003 16,4,2BHK,14.81,56.13,1.96,0.88,Upper Middle,0,,0.0,111.38
19/07/2003 00,4,2BHK,,53.56,2.38,1.3,Upper Middle,0,Fountain,0.0,225.0
29/10/2005 00,3,Cottage,26.38,27.72,1.36,1.25,Middle,1,,0.0,180.17
09/10/2009 16,4,2BHK,10.75,81.54,1.68,1.21,Middle,-1,,0.0,112.2
28/07/2007 16,4,3BHK,,54.26,2.49,0.81,,0,,0.0,127.22
14/06/2002 08,3,1BHK,28.12,42.66,1.47,0.91,Low,1,Garden,1.0,131.55
21/03/2011 00,4,Bungalow,33.16,48.4,2.67,1.24,Upper Middle,0,,0.0,185.93
22/02/2002 08,5,Bungalow,13.64,56.44,2.39,1.2,Upper Middle,0,,0.0,170.1
11/06/2005 08,3,2BHK,26.37,53.9,1.65,1.06,Middle,0,Garden,0.0,123.43
06/03/2013 16,3,Cottage,14.46,52.79,1.58,1.37,Middle,0,Swimming Pool,0.0,164.51
10/01/2005 00,4,2BHK,30.19,54.43,2.82,1.26,Upper Middle,0,Fountain,1.0,242.92
04/11/2005 00,1,Studio,24.58,48.75,1.58,1.46,Low,1,Garden,0.0,97.64
05/09/2004 08,2,1BHK,16.02,70.1,1.6,1.35,Low,0,,0.0,81.8
25/06/2009 08,3,2BHK,,46.23,1.27,1.13,Middle,1,Garden,1.0,182.18
02/02/2004 08,2,Studio,10.4,55.95,1.45,0.86,Low,0,,1.0,57.45
19/01/2008 00,5,2BHK,22.6,81.54,1.49,1.01,Middle,1,,0.0,145.26
19/05/2005 00,3,Detached,28.22,43.62,2.84,1.35,Rich,0,Fountain,1.0,298.4
18/11/2002 16,1,Studio,29.22,47.32,1.76,0.96,Low,1,,1.0,73.07
20/01/2011 00,3,Bungalow,14.39,63.7,1.7,1.04,Upper Middle,1,Fountain,1.0,177.11
14/02/2007 16,2,1BHK,32.31,53.67,1.13,1.43,Middle,0,,0.0,127.17
21/01/2004 16,1,Studio,29.45,40.26,1.27,1.08,Low,2,,0.0,76.79
14/05/2009 08,2,Cottage,29.99,35.46,1.13,1.3,Middle,0,Swimming Pool,0.0,165.85
09/05/2004 08,1,Studio,34.05,39.44,1.19,1.32,Low,1,,0.0,98.47
27/05/2002 00,4,2BHK,32.09,40.65,2.76,1.2,Upper Middle,0,Fountain,0.0,223.12
15/09/2011 00,2,Studio,19.16,43.05,1.24,1.33,Low,0,Jacuzzi,0.0,114.71
20/07/2005 08,3,Bungalow,21.43,61.02,2.33,1.42,Upper Middle,0,Swimming Pool,1.0,229.16
23/06/2003 00,3,Bungalow,29.36,81.16,2.62,1.19,Rich,1,Fountain,0.0,194.79
30/10/2005 00,3,Bungalow,34.3,51.08,2.02,0.97,Rich,1,Jacuzzi,0.0,223.29
27/12/2008 00,1,Studio,18.78,51.71,1.39,1.49,Low,1,,0.0,89.55
19/04/2005 08,3,Cottage,31.36,51.68,1.6,1.3,Middle,0,,0.0,138.23
25/10/2012 08,3,,10.66,48.74,1.47,1.11,Middle,0,,0.0,112.64
15/01/2013 08,4,Bungalow,25.89,53.38,1.96,1.11,Upper Middle,1,Garden,0.0,198.11
02/03/2013 08,5,Bungalow,17.63,52.2,2.99,1.1,Upper Middle,0,,,184.87
05/06/2002 16,4,Bungalow,15.69,69.19,2.71,1.39,Upper Middle,0,Fountain,0.0,185.98
19/10/2010 08,1,Studio,24.84,59.05,1.29,1.12,Low,1,Garden,1.0,81.93
10/09/2002 00,3,1BHK,14.43,53.61,1.21,1.0,Low,0,,0.0,84.43
04/11/2009 16,4,2BHK,27.2,66.84,1.39,1.14,Middle,0,Fountain,0.0,165.87
15/06/2004 00,4,3BHK,24.18,47.14,2.16,1.0,Upper Middle,0,Garden,0.0,166.14
30/12/2002 08,4,3BHK,27.25,60.33,2.31,1.35,Upper Middle,0,Fountain,0.0,236.68
20/04/2008 00,3,Detached,21.55,44.83,2.22,0.84,Rich,0,Swimming Pool,0.0,171.17
11/06/2005 16,3,Detached,31.38,51.24,2.45,1.38,Rich,0,Swimming Pool,1.0,328.4
21/11/2006 16,2,1BHK,34.51,48.37,1.39,1.48,Middle,0,Garden,0.0,143.05
02/06/2005 16,4,3BHK,25.39,71.82,1.64,1.29,Upper Middle,0,Fountain,0.0,211.72
27/02/2005 16,2,1BHK,27.5,60.48,1.7,0.93,Low,1,Garden,0.0,84.02
04/04/2003 00,4,2BHK,26.41,55.29,1.0,0.96,Middle,0,Swimming Pool,1.0,193.3
20/09/2010 16,1,Studio,23.44,27.29,1.23,0.99,Low,0,Garden,0.0,63.5
13/09/2003 16,3,3BHK,16.14,58.11,2.08,1.21,Upper Middle,1,Fountain,0.0,202.22
26/11/2012 08,5,Bungalow,14.96,38.48,2.39,1.16,Rich,0,Jacuzzi,0.0,276.51
13/11/2007 08,1,Studio,15.05,56.51,1.0,1.18,Low,0,Garden,0.0,59.31
11/04/2005 08,3,1BHK,20.86,55.9,1.32,1.03,Middle,0,Garden,0.0,104.39
25/11/2005 16,3,3BHK,11.17,64.08,1.68,0.81,Upper Middle,0,Swimming Pool,0.0,115.08
18/07/2007 08,4,2BHK,32.37,61.55,1.39,0.92,,0,,0.0,120.66
02/11/2010 16,3,1BHK,26.07,54.53,1.68,1.03,Middle,0,Garden,0.0,108.51
19/09/2003 00,4,3BHK,32.6,59.9,2.22,1.24,Upper Middle,0,,0.0,189.94
09/05/2014 16,3,1BHK,19.22,53.46,1.04,1.48,Middle,1,Jacuzzi,0.0,218.85
06/03/2014 00,3,1BHK,14.78,58.04,1.45,0.91,Middle,0,,0.0,81.81
13/10/2012 00,3,1BHK,10.56,65.48,1.14,1.5,Middle,0,Garden,0.0,131.12
09/01/2003 00,1,Studio,25.98,53.11,1.33,0.89,Low,1,,0.0,56.58
08/08/2006 00,3,3BHK,12.98,42.72,2.73,1.8296853096694488,Upper Middle,1,,0.0,176.28
28/08/2009 16,5,2BHK,28.69,Z}#6;,2.42,1.44,Upper Middle,0,Jacuzzi,0.0,288.14
15/03/2007 00,3,Bungalow,30.64,39.87,2.92,1.48,Rich,0,,1.0,259.84
14/01/2009 08,4,3BHK,10.27,51.57,2.88,1.04,Rich,0,Jacuzzi,0.0,200.26
27/12/2006 08,3,1BHK,15.47,55.67,1.79,0.93,Middle,0,Garden,0.0,88.64
08/10/2009 16,5,3BHK,22.86,49.79,2.53,1.17,Upper Middle,0,Jacuzzi,1.0,291.03
20/12/2005 00,3,2BHK,23.64,65.28,2.7,1.44,Upper Middle,0,Fountain,0.0,180.25
10/03/2011 08,5,Detached,21.34,53.9,-55.0,0.83,Rich,0,Swimming Pool,0.0,217.79
26/10/2004 00,2,1BHK,26.02,33.74,1.51,1.0,Middle,0,Swimming Pool,0.0,122.78
04/12/2010 08,3,Bungalow,30.23,44.4,1.73,1.09,Rich,0,Swimming Pool,0.0,224.0
12/09/2004 16,3,Cottage,13.16,68.41,1.2,1.49,,0,Jacuzzi,0.0,154.47
